,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2018-11-01,AWAY,OKC,111,CHO,107,WIN,41,96,0.427,8,37,0.216,21,29,0.724,14,35,49,20,12,9,10,21,38,93,0.409,11,41,0.268,20,22,0.909,11,40,51,26,7,3,17,26
1,2019,2018-11-01,HOME,CHO,107,OKC,111,LOSS,38,93,0.409,11,41,0.268,20,22,0.909,11,40,51,26,7,3,17,26,41,96,0.427,8,37,0.216,21,29,0.724,14,35,49,20,12,9,10,21
2,2019,2018-11-01,AWAY,DEN,110,CLE,91,WIN,41,85,0.482,10,26,0.385,18,21,0.857,14,30,44,22,8,7,12,18,34,83,0.41,5,18,0.278,18,19,0.947,13,22,35,18,11,4,13,22
3,2019,2018-11-01,HOME,CLE,91,DEN,110,LOSS,34,83,0.41,5,18,0.278,18,19,0.947,13,22,35,18,11,4,13,22,41,85,0.482,10,26,0.385,18,21,0.857,14,30,44,22,8,7,12,18
4,2019,2018-11-01,AWAY,LAC,113,PHI,122,LOSS,38,86,0.442,9,23,0.391,28,33,0.848,8,34,42,19,6,7,18,28,44,93,0.473,13,27,0.481,21,28,0.75,10,33,43,29,7,7,14,30
5,2019,2018-11-01,HOME,PHI,122,LAC,113,WIN,44,93,0.473,13,27,0.481,21,28,0.75,10,33,43,29,7,7,14,30,38,86,0.442,9,23,0.391,28,33,0.848,8,34,42,19,6,7,18,28
6,2019,2018-11-01,AWAY,SAC,146,ATL,115,WIN,53,98,0.541,14,35,0.4,26,32,0.813,10,36,46,38,14,3,14,29,42,87,0.483,8,31,0.258,23,34,0.676,10,33,43,26,6,6,22,28
7,2019,2018-11-01,HOME,ATL,115,SAC,146,LOSS,42,87,0.483,8,31,0.258,23,34,0.676,10,33,43,26,6,6,22,28,53,98,0.541,14,35,0.4,26,32,0.813,10,36,46,38,14,3,14,29
8,2019,2018-11-01,AWAY,MIL,113,BOS,117,LOSS,41,85,0.482,9,29,0.31,22,30,0.733,8,37,45,20,8,3,14,20,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,12,23
9,2019,2018-11-01,HOME,BOS,117,MIL,113,WIN,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,12,23,41,85,0.482,9,29,0.31,22,30,0.733,8,37,45,20,8,3,14,20
