,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2020,2020-08-01,AWAY,MIA,125,DEN,105,WIN,40,72,0.556,13,29,0.448,32,37,0.865,6,32,38,29,7,2,15,28,39,89,0.438,8,35,0.229,19,24,0.792,13,25,38,28,7,2,19,32
1,2020,2020-08-01,HOME,DEN,105,MIA,125,LOSS,39,89,0.438,8,35,0.229,19,24,0.792,13,25,38,28,7,2,19,32,40,72,0.556,13,29,0.448,32,37,0.865,6,32,38,29,7,2,15,28
2,2020,2020-08-01,AWAY,UTA,94,OKC,110,LOSS,34,87,0.391,8,31,0.258,18,22,0.818,12,23,35,17,11,4,14,21,41,77,0.532,10,26,0.385,18,24,0.75,11,36,47,19,9,8,21,21
3,2020,2020-08-01,HOME,OKC,110,UTA,94,WIN,41,77,0.532,10,26,0.385,18,24,0.75,11,36,47,19,9,8,21,21,34,87,0.391,8,31,0.258,18,22,0.818,12,23,35,17,11,4,14,21
4,2020,2020-08-01,AWAY,NOP,103,LAC,126,LOSS,38,85,0.447,9,30,0.3,18,28,0.643,9,39,48,24,4,1,18,23,37,87,0.425,25,47,0.532,27,35,0.771,8,40,48,23,10,2,10,28
5,2020,2020-08-01,HOME,LAC,126,NOP,103,WIN,37,87,0.425,25,47,0.532,27,35,0.771,8,40,48,23,10,2,10,28,38,85,0.447,9,30,0.3,18,28,0.643,9,39,48,24,4,1,18,23
6,2020,2020-08-01,AWAY,PHI,121,IND,127,LOSS,46,93,0.495,9,25,0.36,20,25,0.8,20,35,55,20,6,5,21,30,48,95,0.505,14,34,0.412,17,23,0.739,10,24,34,31,8,5,10,25
7,2020,2020-08-01,HOME,IND,127,PHI,121,WIN,48,95,0.505,14,34,0.412,17,23,0.739,10,24,34,31,8,5,10,25,46,93,0.495,9,25,0.36,20,25,0.8,20,35,55,20,6,5,21,30
8,2020,2020-08-01,AWAY,LAL,92,TOR,107,LOSS,29,82,0.354,10,40,0.25,24,33,0.727,8,32,40,17,8,12,17,25,35,84,0.417,14,34,0.412,23,26,0.885,7,44,51,24,7,5,14,28
9,2020,2020-08-01,HOME,TOR,107,LAL,92,WIN,35,84,0.417,14,34,0.412,23,26,0.885,7,44,51,24,7,5,14,28,29,82,0.354,10,40,0.25,24,33,0.727,8,32,40,17,8,12,17,25
10,2020,2020-08-02,AWAY,WAS,110,BRK,118,LOSS,40,88,0.455,9,31,0.29,21,27,0.778,10,36,46,26,6,6,12,31,38,90,0.422,11,33,0.333,31,37,0.838,13,35,48,23,5,4,11,24
11,2020,2020-08-02,HOME,BRK,118,WAS,110,WIN,38,90,0.422,11,33,0.333,31,37,0.838,13,35,48,23,5,4,11,24,40,88,0.455,9,31,0.29,21,27,0.778,10,36,46,26,6,6,12,31
12,2020,2020-08-02,AWAY,POR,124,BOS,128,LOSS,45,90,0.5,19,42,0.452,15,16,0.938,9,26,35,31,8,5,12,25,42,77,0.545,18,30,0.6,26,34,0.765,6,30,36,24,9,6,14,21
13,2020,2020-08-02,HOME,BOS,128,POR,124,WIN,42,77,0.545,18,30,0.6,26,34,0.765,6,30,36,24,9,6,14,21,45,90,0.5,19,42,0.452,15,16,0.938,9,26,35,31,8,5,12,25
14,2020,2020-08-02,AWAY,SAS,108,MEM,106,WIN,36,86,0.419,12,29,0.414,24,33,0.727,12,37,49,22,5,6,16,20,42,91,0.462,7,30,0.233,15,18,0.833,3,36,39,27,5,3,12,27
15,2020,2020-08-02,HOME,MEM,106,SAS,108,LOSS,42,91,0.462,7,30,0.233,15,18,0.833,3,36,39,27,5,3,12,27,36,86,0.419,12,29,0.414,24,33,0.727,12,37,49,22,5,6,16,20
16,2020,2020-08-02,AWAY,SAC,116,ORL,132,LOSS,45,91,0.495,8,28,0.286,18,22,0.818,9,30,39,30,10,0,14,28,43,82,0.524,18,38,0.474,28,35,0.8,12,34,46,31,10,4,18,25
17,2020,2020-08-02,HOME,ORL,132,SAC,116,WIN,43,82,0.524,18,38,0.474,28,35,0.8,12,34,46,31,10,4,18,25,45,91,0.495,8,28,0.286,18,22,0.818,9,30,39,30,10,0,14,28
18,2020,2020-08-02,AWAY,MIL,116,HOU,120,LOSS,45,92,0.489,9,35,0.257,17,23,0.739,17,48,65,21,6,6,22,23,36,91,0.396,21,61,0.344,27,31,0.871,6,30,36,22,15,3,9,24
19,2020,2020-08-02,HOME,HOU,120,MIL,116,WIN,36,91,0.396,21,61,0.344,27,31,0.871,6,30,36,22,15,3,9,24,45,92,0.489,9,35,0.257,17,23,0.739,17,48,65,21,6,6,22,23
20,2020,2020-08-02,AWAY,DAL,115,PHO,117,LOSS,38,93,0.409,6,31,0.194,33,37,0.892,10,39,49,22,8,5,8,22,42,93,0.452,12,33,0.364,21,23,0.913,6,43,49,22,5,4,11,29
21,2020,2020-08-02,HOME,PHO,117,DAL,115,WIN,42,93,0.452,12,33,0.364,21,23,0.913,6,43,49,22,5,4,11,29,38,93,0.409,6,31,0.194,33,37,0.892,10,39,49,22,8,5,8,22
22,2020,2020-08-03,AWAY,TOR,107,MIA,103,WIN,29,67,0.433,16,32,0.5,33,36,0.917,3,36,39,19,6,3,21,19,37,87,0.425,14,45,0.311,15,16,0.938,8,33,41,29,9,8,14,24
23,2020,2020-08-03,HOME,MIA,103,TOR,107,LOSS,37,87,0.425,14,45,0.311,15,16,0.938,8,33,41,29,9,8,14,24,29,67,0.433,16,32,0.5,33,36,0.917,3,36,39,19,6,3,21,19
24,2020,2020-08-03,AWAY,DEN,121,OKC,113,WIN,42,87,0.483,7,25,0.28,30,39,0.769,9,37,46,23,10,3,12,29,37,87,0.425,15,36,0.417,24,31,0.774,8,34,42,20,4,5,15,32
25,2020,2020-08-03,HOME,OKC,113,DEN,121,LOSS,37,87,0.425,15,36,0.417,24,31,0.774,8,34,42,20,4,5,15,32,42,87,0.483,7,25,0.28,30,39,0.769,9,37,46,23,10,3,12,29
26,2020,2020-08-03,AWAY,IND,111,WAS,100,WIN,44,92,0.478,7,26,0.269,16,16,1.0,9,36,45,20,6,11,10,15,41,94,0.436,11,30,0.367,7,13,0.538,9,36,45,30,6,7,13,19
27,2020,2020-08-03,HOME,WAS,100,IND,111,LOSS,41,94,0.436,11,30,0.367,7,13,0.538,9,36,45,30,6,7,13,19,44,92,0.478,7,26,0.269,16,16,1.0,9,36,45,20,6,11,10,15
28,2020,2020-08-03,AWAY,MEM,99,NOP,109,LOSS,37,93,0.398,12,43,0.279,13,15,0.867,8,35,43,25,3,10,13,32,37,82,0.451,11,29,0.379,24,39,0.615,8,41,49,25,7,1,14,20
29,2020,2020-08-03,HOME,NOP,109,MEM,99,WIN,37,82,0.451,11,29,0.379,24,39,0.615,8,41,49,25,7,1,14,20,37,93,0.398,12,43,0.279,13,15,0.867,8,35,43,25,3,10,13,32
30,2020,2020-08-03,AWAY,SAS,130,PHI,132,LOSS,46,93,0.495,12,26,0.462,26,29,0.897,13,31,44,21,7,6,14,23,46,87,0.529,14,31,0.452,26,30,0.867,8,27,35,26,6,6,13,25
31,2020,2020-08-03,HOME,PHI,132,SAS,130,WIN,46,87,0.529,14,31,0.452,26,30,0.867,8,27,35,26,6,6,13,25,46,93,0.495,12,26,0.462,26,29,0.897,13,31,44,21,7,6,14,23
32,2020,2020-08-03,AWAY,LAL,116,UTA,108,WIN,41,82,0.5,9,26,0.346,25,31,0.806,4,34,38,23,12,3,14,24,37,83,0.446,12,43,0.279,22,25,0.88,7,35,42,25,8,3,21,29
33,2020,2020-08-03,HOME,UTA,108,LAL,116,LOSS,37,83,0.446,12,43,0.279,22,25,0.88,7,35,42,25,8,3,21,29,41,82,0.5,9,26,0.346,25,31,0.806,4,34,38,23,12,3,14,24
34,2020,2020-08-04,AWAY,BRK,119,MIL,116,WIN,43,103,0.417,21,57,0.368,12,16,0.75,7,35,42,30,5,6,7,26,42,88,0.477,17,51,0.333,15,23,0.652,7,47,54,28,3,5,18,19
35,2020,2020-08-04,HOME,MIL,116,BRK,119,LOSS,42,88,0.477,17,51,0.333,15,23,0.652,7,47,54,28,3,5,18,19,43,103,0.417,21,57,0.368,12,16,0.75,7,35,42,30,5,6,7,26
36,2020,2020-08-04,AWAY,DAL,114,SAC,110,WIN,33,90,0.367,9,41,0.22,39,50,0.78,17,44,61,22,4,2,17,21,43,104,0.413,16,43,0.372,8,12,0.667,8,39,47,26,8,3,10,37
37,2020,2020-08-04,HOME,SAC,110,DAL,114,LOSS,43,104,0.413,16,43,0.372,8,12,0.667,8,39,47,26,8,3,10,37,33,90,0.367,9,41,0.22,39,50,0.78,17,44,61,22,4,2,17,21
38,2020,2020-08-04,AWAY,PHO,117,LAC,115,WIN,45,96,0.469,17,32,0.531,10,14,0.714,11,33,44,25,5,0,8,21,42,85,0.494,8,29,0.276,23,27,0.852,8,40,48,21,2,3,10,16
39,2020,2020-08-04,HOME,LAC,115,PHO,117,LOSS,42,85,0.494,8,29,0.276,23,27,0.852,8,40,48,21,2,3,10,16,45,96,0.469,17,32,0.531,10,14,0.714,11,33,44,25,5,0,8,21
40,2020,2020-08-04,AWAY,ORL,109,IND,120,LOSS,39,82,0.476,12,34,0.353,19,23,0.826,11,32,43,21,3,2,18,22,46,84,0.548,13,33,0.394,15,19,0.789,2,30,32,29,10,3,7,17
41,2020,2020-08-04,HOME,IND,120,ORL,109,WIN,46,84,0.548,13,33,0.394,15,19,0.789,2,30,32,29,10,3,7,17,39,82,0.476,12,34,0.353,19,23,0.826,11,32,43,21,3,2,18,22
42,2020,2020-08-04,AWAY,BOS,106,MIA,112,LOSS,37,85,0.435,10,33,0.303,22,27,0.815,14,31,45,15,7,4,16,26,34,77,0.442,15,43,0.349,29,39,0.744,12,30,42,22,8,5,12,19
43,2020,2020-08-04,HOME,MIA,112,BOS,106,WIN,34,77,0.442,15,43,0.349,29,39,0.744,12,30,42,22,8,5,12,19,37,85,0.435,10,33,0.303,22,27,0.815,14,31,45,15,7,4,16,26
44,2020,2020-08-04,AWAY,HOU,102,POR,110,LOSS,34,87,0.391,19,53,0.358,15,24,0.625,5,34,39,24,7,3,10,26,39,95,0.411,12,31,0.387,20,29,0.69,15,49,64,18,7,5,12,21
45,2020,2020-08-04,HOME,POR,110,HOU,102,WIN,39,95,0.411,12,31,0.387,20,29,0.69,15,49,64,18,7,5,12,21,34,87,0.391,19,53,0.358,15,24,0.625,5,34,39,24,7,3,10,26
46,2020,2020-08-05,AWAY,MEM,115,UTA,124,LOSS,43,91,0.473,11,29,0.379,18,25,0.72,9,32,41,21,7,3,14,28,38,84,0.452,18,45,0.4,30,33,0.909,11,35,46,25,5,4,17,23
47,2020,2020-08-05,HOME,UTA,124,MEM,115,WIN,38,84,0.452,18,45,0.4,30,33,0.909,11,35,46,25,5,4,17,23,43,91,0.473,11,29,0.379,18,25,0.72,9,32,41,21,7,3,14,28
48,2020,2020-08-05,AWAY,DEN,132,SAS,126,WIN,50,91,0.549,14,36,0.389,18,21,0.857,14,32,46,31,6,5,14,21,46,93,0.495,11,30,0.367,23,27,0.852,10,25,35,29,10,5,7,20
49,2020,2020-08-05,HOME,SAS,126,DEN,132,LOSS,46,93,0.495,11,30,0.367,23,27,0.852,10,25,35,29,10,5,7,20,50,91,0.549,14,36,0.389,18,21,0.857,14,32,46,31,6,5,14,21
50,2020,2020-08-05,AWAY,PHI,107,WAS,98,WIN,38,82,0.463,11,29,0.379,20,29,0.69,6,35,41,27,11,4,14,21,36,85,0.424,7,21,0.333,19,24,0.792,9,39,48,17,8,5,15,26
51,2020,2020-08-05,HOME,WAS,98,PHI,107,LOSS,36,85,0.424,7,21,0.333,19,24,0.792,9,39,48,17,8,5,15,26,38,82,0.463,11,29,0.379,20,29,0.69,6,35,41,27,11,4,14,21
52,2020,2020-08-05,AWAY,OKC,105,LAL,86,WIN,34,79,0.43,5,24,0.208,32,36,0.889,4,48,52,17,9,2,13,23,31,88,0.352,5,37,0.135,19,29,0.655,10,36,46,17,7,3,11,24
53,2020,2020-08-05,HOME,LAL,86,OKC,105,LOSS,31,88,0.352,5,37,0.135,19,29,0.655,10,36,46,17,7,3,11,24,34,79,0.43,5,24,0.208,32,36,0.889,4,48,52,17,9,2,13,23
54,2020,2020-08-05,AWAY,TOR,109,ORL,99,WIN,38,78,0.487,12,33,0.364,21,30,0.7,3,41,44,25,6,2,15,21,35,87,0.402,11,41,0.268,18,26,0.692,8,35,43,26,8,4,13,26
55,2020,2020-08-05,HOME,ORL,99,TOR,109,LOSS,35,87,0.402,11,41,0.268,18,26,0.692,8,35,43,26,8,4,13,26,38,78,0.487,12,33,0.364,21,30,0.7,3,41,44,25,6,2,15,21
56,2020,2020-08-05,AWAY,BRK,115,BOS,149,LOSS,45,95,0.474,8,32,0.25,17,21,0.81,7,27,34,23,9,2,17,22,50,88,0.568,20,39,0.513,29,35,0.829,6,37,43,29,10,10,14,23
57,2020,2020-08-05,HOME,BOS,149,BRK,115,WIN,50,88,0.568,20,39,0.513,29,35,0.829,6,37,43,29,10,10,14,23,45,95,0.474,8,32,0.25,17,21,0.81,7,27,34,23,9,2,17,22
58,2020,2020-08-06,AWAY,NOP,125,SAC,140,LOSS,47,82,0.573,14,34,0.412,17,23,0.739,5,25,30,31,4,3,17,26,50,93,0.538,16,33,0.485,24,33,0.727,13,26,39,26,11,3,8,20
59,2020,2020-08-06,HOME,SAC,140,NOP,125,WIN,50,93,0.538,16,33,0.485,24,33,0.727,13,26,39,26,11,3,8,20,47,82,0.573,14,34,0.412,17,23,0.739,5,25,30,31,4,3,17,26
60,2020,2020-08-06,AWAY,MIA,116,MIL,130,LOSS,35,83,0.422,21,46,0.457,25,27,0.926,6,33,39,28,6,1,19,28,41,78,0.526,15,37,0.405,33,38,0.868,5,39,44,27,7,3,14,21
61,2020,2020-08-06,HOME,MIL,130,MIA,116,WIN,41,78,0.526,15,37,0.405,33,38,0.868,5,39,44,27,7,3,14,21,35,83,0.422,21,46,0.457,25,27,0.926,6,33,39,28,6,1,19,28
62,2020,2020-08-06,AWAY,IND,99,PHO,114,LOSS,37,85,0.435,10,29,0.345,15,19,0.789,5,33,38,20,6,5,15,22,43,92,0.467,9,34,0.265,19,20,0.95,12,41,53,27,6,4,15,20
63,2020,2020-08-06,HOME,PHO,114,IND,99,WIN,43,92,0.467,9,34,0.265,19,20,0.95,12,41,53,27,6,4,15,20,37,85,0.435,10,29,0.345,15,19,0.789,5,33,38,20,6,5,15,22
64,2020,2020-08-06,AWAY,LAC,126,DAL,111,WIN,50,92,0.543,14,31,0.452,12,15,0.8,9,36,45,22,3,3,6,21,39,87,0.448,17,48,0.354,16,21,0.762,8,29,37,24,3,4,7,17
65,2020,2020-08-06,HOME,DAL,111,LAC,126,LOSS,39,87,0.448,17,48,0.354,16,21,0.762,8,29,37,24,3,4,7,17,50,92,0.543,14,31,0.452,12,15,0.8,9,36,45,22,3,3,6,21
66,2020,2020-08-06,AWAY,POR,125,DEN,115,WIN,43,92,0.467,23,39,0.59,16,20,0.8,13,26,39,30,7,6,9,18,44,84,0.524,14,28,0.5,13,17,0.765,11,33,44,30,5,4,16,22
67,2020,2020-08-06,HOME,DEN,115,POR,125,LOSS,44,84,0.524,14,28,0.5,13,17,0.765,11,33,44,30,5,4,16,22,43,92,0.467,23,39,0.59,16,20,0.8,13,26,39,30,7,6,9,18
68,2020,2020-08-06,AWAY,LAL,97,HOU,113,LOSS,35,77,0.455,2,19,0.105,25,36,0.694,12,36,48,18,11,6,24,20,36,84,0.429,21,57,0.368,20,23,0.87,4,30,34,26,11,5,19,28
69,2020,2020-08-06,HOME,HOU,113,LAL,97,WIN,36,84,0.429,21,57,0.368,20,23,0.87,4,30,34,26,11,5,19,28,35,77,0.455,2,19,0.105,25,36,0.694,12,36,48,18,11,6,24,20
70,2020,2020-08-07,AWAY,UTA,111,SAS,119,LOSS,38,91,0.418,16,37,0.432,19,24,0.792,10,39,49,25,8,4,15,19,45,89,0.506,9,22,0.409,20,26,0.769,8,39,47,27,10,5,13,18
71,2020,2020-08-07,HOME,SAS,119,UTA,111,WIN,45,89,0.506,9,22,0.409,20,26,0.769,8,39,47,27,10,5,13,18,38,91,0.418,16,37,0.432,19,24,0.792,10,39,49,25,8,4,15,19
72,2020,2020-08-07,AWAY,OKC,92,MEM,121,LOSS,34,97,0.351,13,43,0.302,11,15,0.733,12,24,36,19,12,2,10,20,46,83,0.554,11,31,0.355,18,20,0.9,12,46,58,24,6,4,19,19
73,2020,2020-08-07,HOME,MEM,121,OKC,92,WIN,46,83,0.554,11,31,0.355,18,20,0.9,12,46,58,24,6,4,19,19,34,97,0.351,13,43,0.302,11,15,0.733,12,24,36,19,12,2,10,20
74,2020,2020-08-07,AWAY,SAC,106,BRK,119,LOSS,38,89,0.427,12,40,0.3,18,24,0.75,13,37,50,19,3,4,15,26,42,86,0.488,17,40,0.425,18,28,0.643,7,37,44,30,9,3,9,23
75,2020,2020-08-07,HOME,BRK,119,SAC,106,WIN,42,86,0.488,17,40,0.425,18,28,0.643,7,37,44,30,9,3,9,23,38,89,0.427,12,40,0.3,18,24,0.75,13,37,50,19,3,4,15,26
76,2020,2020-08-07,AWAY,ORL,101,PHI,108,LOSS,37,88,0.42,8,32,0.25,19,25,0.76,10,37,47,17,5,2,9,24,38,93,0.409,8,29,0.276,24,33,0.727,15,36,51,19,4,4,9,20
77,2020,2020-08-07,HOME,PHI,108,ORL,101,WIN,38,93,0.409,8,29,0.276,24,33,0.727,15,36,51,19,4,4,9,20,37,88,0.42,8,32,0.25,19,25,0.76,10,37,47,17,5,2,9,24
78,2020,2020-08-07,AWAY,WAS,107,NOP,118,LOSS,38,90,0.422,10,27,0.37,21,23,0.913,10,30,40,22,9,4,13,27,42,88,0.477,12,35,0.343,22,26,0.846,11,34,45,25,7,8,18,19
79,2020,2020-08-07,HOME,NOP,118,WAS,107,WIN,42,88,0.477,12,35,0.343,22,26,0.846,11,34,45,25,7,8,18,19,38,90,0.422,10,27,0.37,21,23,0.913,10,30,40,22,9,4,13,27
80,2020,2020-08-07,AWAY,BOS,122,TOR,100,WIN,47,96,0.49,16,46,0.348,12,16,0.75,9,43,52,27,8,2,14,22,38,89,0.427,10,38,0.263,14,17,0.824,9,39,48,20,8,7,17,18
81,2020,2020-08-07,HOME,TOR,100,BOS,122,LOSS,38,89,0.427,10,38,0.263,14,17,0.824,9,39,48,20,8,7,17,18,47,96,0.49,16,46,0.348,12,16,0.75,9,43,52,27,8,2,14,22
82,2020,2020-08-08,AWAY,LAC,122,POR,117,WIN,42,85,0.494,15,34,0.441,23,28,0.821,9,36,45,24,5,2,14,22,44,90,0.489,17,43,0.395,12,17,0.706,9,32,41,24,5,2,11,26
