,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2020,2019-10-22,AWAY,NOP,122,TOR,130,LOSS,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,16,24
1,2020,2019-10-22,HOME,TOR,130,NOP,122,WIN,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,16,24,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34
2,2020,2019-10-22,AWAY,LAL,102,LAC,112,LOSS,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,4,7,14,24,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25
3,2020,2019-10-22,HOME,LAC,112,LAL,102,WIN,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,4,7,14,24
4,2020,2019-10-23,AWAY,CHI,125,CHO,126,LOSS,49,105,0.467,9,30,0.3,18,22,0.818,20,29,49,25,11,4,10,20,45,88,0.511,23,44,0.523,13,16,0.813,9,32,41,28,3,4,19,18
5,2020,2019-10-23,HOME,CHO,126,CHI,125,WIN,45,88,0.511,23,44,0.523,13,16,0.813,9,32,41,28,3,4,19,18,49,105,0.467,9,30,0.3,18,22,0.818,20,29,49,25,11,4,10,20
6,2020,2019-10-23,AWAY,DET,119,IND,110,WIN,41,78,0.526,11,24,0.458,26,33,0.788,10,35,45,26,5,6,18,21,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28
7,2020,2019-10-23,HOME,IND,110,DET,119,LOSS,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,41,78,0.526,11,24,0.458,26,33,0.788,10,35,45,26,5,6,18,21
8,2020,2019-10-23,AWAY,CLE,85,ORL,94,LOSS,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15,37,86,0.43,9,30,0.3,11,19,0.579,7,39,46,24,12,4,13,18
9,2020,2019-10-23,HOME,ORL,94,CLE,85,WIN,37,86,0.43,9,30,0.3,11,19,0.579,7,39,46,24,12,4,13,18,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15
10,2020,2019-10-23,AWAY,MIN,127,BRK,126,WIN,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22,48,101,0.475,15,34,0.441,15,26,0.577,10,38,48,19,8,9,16,30
11,2020,2019-10-23,HOME,BRK,126,MIN,127,LOSS,48,101,0.475,15,34,0.441,15,26,0.577,10,38,48,19,8,9,16,30,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22
12,2020,2019-10-23,AWAY,MEM,101,MIA,120,LOSS,38,89,0.427,5,32,0.156,20,30,0.667,9,31,40,22,9,7,24,31,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33
13,2020,2019-10-23,HOME,MIA,120,MEM,101,WIN,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,38,89,0.427,5,32,0.156,20,30,0.667,9,31,40,22,9,7,24,31
14,2020,2019-10-23,AWAY,BOS,93,PHI,107,LOSS,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,10,29,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,15,34
15,2020,2019-10-23,HOME,PHI,107,BOS,93,WIN,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,15,34,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,10,29
16,2020,2019-10-23,AWAY,WAS,100,DAL,108,LOSS,37,93,0.398,11,41,0.268,15,18,0.833,11,36,47,26,6,3,17,32,35,76,0.461,11,36,0.306,27,33,0.818,5,41,46,17,6,5,19,22
