,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2020,2020-09-01,AWAY,BOS,102,TOR,99,WIN,32,76,0.421,15,38,0.395,23,25,0.92,4,40,44,18,6,9,17,20,36,90,0.4,11,40,0.275,16,19,0.842,7,34,41,25,10,7,12,19
1,2020,2020-09-01,HOME,TOR,99,BOS,102,LOSS,36,90,0.4,11,40,0.275,16,19,0.842,7,34,41,25,10,7,12,19,32,76,0.421,15,38,0.395,23,25,0.92,4,40,44,18,6,9,17,20
2,2020,2020-09-01,AWAY,UTA,78,DEN,80,LOSS,30,79,0.38,8,34,0.235,10,15,0.667,10,38,48,16,6,3,12,14,31,83,0.373,8,31,0.258,10,13,0.769,8,38,46,21,7,4,10,18
3,2020,2020-09-01,HOME,DEN,80,UTA,78,WIN,31,83,0.373,8,31,0.258,10,13,0.769,8,38,46,21,7,4,10,18,30,79,0.38,8,34,0.235,10,15,0.667,10,38,48,16,6,3,12,14
4,2020,2020-09-02,AWAY,MIA,116,MIL,114,WIN,37,81,0.457,17,45,0.378,25,32,0.781,7,31,38,22,12,4,10,26,37,85,0.435,7,25,0.28,33,39,0.846,17,33,50,16,6,2,14,25
5,2020,2020-09-02,HOME,MIL,114,MIA,116,LOSS,37,85,0.435,7,25,0.28,33,39,0.846,17,33,50,16,6,2,14,25,37,81,0.457,17,45,0.378,25,32,0.781,7,31,38,22,12,4,10,26
6,2020,2020-09-02,AWAY,OKC,102,HOU,104,LOSS,35,76,0.461,16,34,0.471,16,21,0.762,7,39,46,24,6,4,21,16,35,88,0.398,17,49,0.347,17,19,0.895,11,33,44,18,11,7,12,24
7,2020,2020-09-02,HOME,HOU,104,OKC,102,WIN,35,88,0.398,17,49,0.347,17,19,0.895,11,33,44,18,11,7,12,24,35,76,0.461,16,34,0.471,16,21,0.762,7,39,46,24,6,4,21,16
8,2020,2020-09-03,AWAY,TOR,104,BOS,103,WIN,41,88,0.466,13,40,0.325,9,16,0.563,6,33,39,23,7,5,13,20,39,83,0.47,9,29,0.31,16,21,0.762,7,37,44,21,6,7,14,16
9,2020,2020-09-03,HOME,BOS,103,TOR,104,LOSS,39,83,0.47,9,29,0.31,16,21,0.762,7,37,44,21,6,7,14,16,41,88,0.466,13,40,0.325,9,16,0.563,6,33,39,23,7,5,13,20
10,2020,2020-09-03,AWAY,DEN,97,LAC,120,LOSS,35,83,0.422,9,36,0.25,18,27,0.667,12,28,40,20,9,5,15,21,48,84,0.571,10,24,0.417,14,17,0.824,9,36,45,23,7,3,14,24
11,2020,2020-09-03,HOME,LAC,120,DEN,97,WIN,48,84,0.571,10,24,0.417,14,17,0.824,9,36,45,23,7,3,14,24,35,83,0.422,9,36,0.25,18,27,0.667,12,28,40,20,9,5,15,21
12,2020,2020-09-04,AWAY,MIL,100,MIA,115,LOSS,37,88,0.42,11,37,0.297,15,21,0.714,8,36,44,23,8,5,10,22,35,78,0.449,18,47,0.383,27,34,0.794,9,40,49,27,3,6,11,19
13,2020,2020-09-04,HOME,MIA,115,MIL,100,WIN,35,78,0.449,18,47,0.383,27,34,0.794,9,40,49,27,3,6,11,19,37,88,0.42,11,37,0.297,15,21,0.714,8,36,44,23,8,5,10,22
14,2020,2020-09-04,AWAY,HOU,112,LAL,97,WIN,39,81,0.481,14,39,0.359,20,27,0.741,4,37,41,19,13,3,14,19,35,83,0.422,11,38,0.289,16,19,0.842,10,31,41,18,8,9,15,20
15,2020,2020-09-04,HOME,LAL,97,HOU,112,LOSS,35,83,0.422,11,38,0.289,16,19,0.842,10,31,41,18,8,9,15,20,39,81,0.481,14,39,0.359,20,27,0.741,4,37,41,19,13,3,14,19
16,2020,2020-09-05,AWAY,TOR,100,BOS,93,WIN,34,86,0.395,17,44,0.386,15,19,0.789,8,33,41,23,4,5,12,21,33,75,0.44,7,35,0.2,20,27,0.741,6,39,45,18,6,2,14,20
17,2020,2020-09-05,HOME,BOS,93,TOR,100,LOSS,33,75,0.44,7,35,0.2,20,27,0.741,6,39,45,18,6,2,14,20,34,86,0.395,17,44,0.386,15,19,0.789,8,33,41,23,4,5,12,21
18,2020,2020-09-05,AWAY,DEN,110,LAC,101,WIN,41,91,0.451,15,40,0.375,13,17,0.765,14,31,45,18,9,8,12,23,36,88,0.409,9,32,0.281,20,29,0.69,19,33,52,20,9,4,17,17
19,2020,2020-09-05,HOME,LAC,101,DEN,110,LOSS,36,88,0.409,9,32,0.281,20,29,0.69,19,33,52,20,9,4,17,17,41,91,0.451,15,40,0.375,13,17,0.765,14,31,45,18,9,8,12,23
