,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2021,2021-04-01,AWAY,PHI,114,CLE,94,WIN,40,93,0.43,15,37,0.405,19,25,0.76,12,43,55,27,11,8,9,19,34,80,0.425,10,35,0.286,16,21,0.762,4,36,40,26,5,3,18,24
1,2021,2021-04-01,HOME,CLE,94,PHI,114,LOSS,34,80,0.425,10,35,0.286,16,21,0.762,4,36,40,26,5,3,18,24,40,93,0.43,15,37,0.405,19,25,0.76,12,43,55,27,11,8,9,19
2,2021,2021-04-01,AWAY,WAS,91,DET,120,LOSS,40,85,0.471,5,19,0.263,6,19,0.316,4,36,40,25,6,6,14,21,45,94,0.479,12,29,0.414,18,22,0.818,10,38,48,31,8,5,13,18
3,2021,2021-04-01,HOME,DET,120,WAS,91,WIN,45,94,0.479,12,29,0.414,18,22,0.818,10,38,48,31,8,5,13,18,40,85,0.471,5,19,0.263,6,19,0.316,4,36,40,25,6,6,14,21
4,2021,2021-04-01,AWAY,CHO,89,BRK,111,LOSS,30,86,0.349,13,38,0.342,16,19,0.842,11,32,43,22,11,5,11,9,44,91,0.484,20,45,0.444,3,4,0.75,13,43,56,34,8,5,15,18
5,2021,2021-04-01,HOME,BRK,111,CHO,89,WIN,44,91,0.484,20,45,0.444,3,4,0.75,13,43,56,34,8,5,15,18,30,86,0.349,13,38,0.342,16,19,0.842,11,32,43,22,11,5,11,9
6,2021,2021-04-01,AWAY,GSW,109,MIA,116,LOSS,36,82,0.439,15,37,0.405,22,25,0.88,12,34,46,23,7,3,20,26,39,82,0.476,13,39,0.333,25,30,0.833,5,32,37,30,10,6,11,22
7,2021,2021-04-01,HOME,MIA,116,GSW,109,WIN,39,82,0.476,13,39,0.333,25,30,0.833,5,32,37,30,10,6,11,22,36,82,0.439,15,37,0.405,22,25,0.88,12,34,46,23,7,3,20,26
8,2021,2021-04-01,AWAY,ORL,115,NOP,110,WIN,45,106,0.425,5,25,0.2,20,23,0.87,12,36,48,20,17,5,10,20,41,93,0.441,12,29,0.414,16,19,0.842,12,43,55,26,7,7,24,23
9,2021,2021-04-01,HOME,NOP,110,ORL,115,LOSS,41,93,0.441,12,29,0.414,16,19,0.842,12,43,55,26,7,7,24,23,45,106,0.425,5,25,0.2,20,23,0.87,12,36,48,20,17,5,10,20
10,2021,2021-04-01,AWAY,ATL,134,SAS,129,WIN,50,100,0.5,13,24,0.542,21,26,0.808,10,47,57,28,3,9,12,22,49,110,0.445,13,40,0.325,18,24,0.75,11,35,46,25,8,6,6,22
11,2021,2021-04-01,HOME,SAS,129,ATL,134,LOSS,49,110,0.445,13,40,0.325,18,24,0.75,11,35,46,25,8,6,6,22,50,100,0.5,13,24,0.542,21,26,0.808,10,47,57,28,3,9,12,22
12,2021,2021-04-01,AWAY,DEN,101,LAC,94,WIN,39,81,0.481,13,25,0.52,10,14,0.714,7,31,38,28,6,5,13,16,35,85,0.412,10,34,0.294,14,16,0.875,13,32,45,17,6,5,10,19
13,2021,2021-04-01,HOME,LAC,94,DEN,101,LOSS,35,85,0.412,10,34,0.294,14,16,0.875,13,32,45,17,6,5,10,19,39,81,0.481,13,25,0.52,10,14,0.714,7,31,38,28,6,5,13,16
