,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2021,2021-07-01,AWAY,ATL,112,MIL,123,LOSS,41,90,0.456,15,38,0.395,15,19,0.789,13,27,40,24,6,5,14,22,48,95,0.505,9,29,0.31,18,25,0.72,14,33,47,28,11,5,8,17
1,2021,2021-07-01,HOME,MIL,123,ATL,112,WIN,48,95,0.505,9,29,0.31,18,25,0.72,14,33,47,28,11,5,8,17,41,90,0.456,15,38,0.395,15,19,0.789,13,27,40,24,6,5,14,22
2,2021,2021-07-03,AWAY,MIL,118,ATL,107,WIN,41,89,0.461,17,45,0.378,19,21,0.905,12,34,46,24,11,5,14,23,38,92,0.413,12,32,0.375,19,23,0.826,13,30,43,22,11,2,16,16
3,2021,2021-07-03,HOME,ATL,107,MIL,118,LOSS,38,92,0.413,12,32,0.375,19,23,0.826,13,30,43,22,11,2,16,16,41,89,0.461,17,45,0.378,19,21,0.905,12,34,46,24,11,5,14,23
4,2021,2021-07-06,AWAY,MIL,105,PHO,118,LOSS,40,88,0.455,16,36,0.444,9,16,0.563,9,38,47,21,4,2,13,18,41,88,0.466,11,34,0.324,25,26,0.962,6,37,43,18,9,1,9,14
5,2021,2021-07-06,HOME,PHO,118,MIL,105,WIN,41,88,0.466,11,34,0.324,25,26,0.962,6,37,43,18,9,1,9,14,40,88,0.455,16,36,0.444,9,16,0.563,9,38,47,21,4,2,13,18
6,2021,2021-07-08,AWAY,MIL,108,PHO,118,LOSS,42,93,0.452,9,31,0.29,15,23,0.652,18,28,46,21,8,7,9,17,43,88,0.489,20,40,0.5,12,14,0.857,11,32,43,26,7,2,12,19
7,2021,2021-07-08,HOME,PHO,118,MIL,108,WIN,43,88,0.489,20,40,0.5,12,14,0.857,11,32,43,26,7,2,12,19,42,93,0.452,9,31,0.29,15,23,0.652,18,28,46,21,8,7,9,17
8,2021,2021-07-11,AWAY,PHO,100,MIL,120,LOSS,40,83,0.482,9,31,0.29,11,16,0.688,6,30,36,21,3,3,14,24,43,90,0.478,14,36,0.389,20,26,0.769,13,34,47,28,8,2,9,18
9,2021,2021-07-11,HOME,MIL,120,PHO,100,WIN,43,90,0.478,14,36,0.389,20,26,0.769,13,34,47,28,8,2,9,18,40,83,0.482,9,31,0.29,11,16,0.688,6,30,36,21,3,3,14,24
10,2021,2021-07-14,AWAY,PHO,103,MIL,109,LOSS,40,78,0.513,7,23,0.304,16,19,0.842,5,35,40,18,3,9,17,24,39,97,0.402,7,29,0.241,24,29,0.828,17,31,48,22,11,3,5,18
11,2021,2021-07-14,HOME,MIL,109,PHO,103,WIN,39,97,0.402,7,29,0.241,24,29,0.828,17,31,48,22,11,3,5,18,40,78,0.513,7,23,0.304,16,19,0.842,5,35,40,18,3,9,17,24
12,2021,2021-07-17,AWAY,MIL,123,PHO,119,WIN,50,87,0.575,14,28,0.5,9,17,0.529,11,26,37,26,7,1,11,17,48,87,0.552,13,19,0.684,10,11,0.909,8,27,35,23,9,5,8,20
13,2021,2021-07-17,HOME,PHO,119,MIL,123,LOSS,48,87,0.552,13,19,0.684,10,11,0.909,8,27,35,23,9,5,8,20,50,87,0.575,14,28,0.5,9,17,0.529,11,26,37,26,7,1,11,17
14,2021,2021-07-20,AWAY,PHO,98,MIL,105,LOSS,38,86,0.442,6,25,0.24,16,19,0.842,6,31,37,14,11,4,14,21,37,82,0.451,6,27,0.222,25,29,0.862,11,42,53,20,10,6,18,17
15,2021,2021-07-20,HOME,MIL,105,PHO,98,WIN,37,82,0.451,6,27,0.222,25,29,0.862,11,42,53,20,10,6,18,17,38,86,0.442,6,25,0.24,16,19,0.842,6,31,37,14,11,4,14,21
