,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2021,2021-03-01,AWAY,DAL,130,ORL,124,WIN,47,90,0.522,17,46,0.37,19,23,0.826,7,39,46,29,6,6,8,12,47,95,0.495,20,41,0.488,10,14,0.714,6,35,41,25,5,1,8,17
1,2021,2021-03-01,HOME,ORL,124,DAL,130,LOSS,47,95,0.495,20,41,0.488,10,14,0.714,6,35,41,25,5,1,8,17,47,90,0.522,17,46,0.37,19,23,0.826,7,39,46,29,6,6,8,12
2,2021,2021-03-01,AWAY,IND,114,PHI,130,LOSS,44,91,0.484,8,29,0.276,18,21,0.857,8,26,34,27,8,1,19,19,50,88,0.568,15,35,0.429,15,16,0.938,6,33,39,27,10,6,19,19
3,2021,2021-03-01,HOME,PHI,130,IND,114,WIN,50,88,0.568,15,35,0.429,15,16,0.938,6,33,39,27,10,6,19,19,44,91,0.484,8,29,0.276,18,21,0.857,8,26,34,27,8,1,19,19
4,2021,2021-03-01,AWAY,DEN,118,CHI,112,WIN,46,87,0.529,10,27,0.37,16,20,0.8,9,41,50,22,4,6,12,18,42,94,0.447,12,38,0.316,16,22,0.727,14,30,44,25,7,3,10,18
5,2021,2021-03-01,HOME,CHI,112,DEN,118,LOSS,42,94,0.447,12,38,0.316,16,22,0.727,14,30,44,25,7,3,10,18,46,87,0.529,10,27,0.37,16,20,0.8,9,41,50,22,4,6,12,18
6,2021,2021-03-01,AWAY,UTA,124,NOP,129,LOSS,46,101,0.455,17,43,0.395,15,18,0.833,11,28,39,26,11,7,8,22,52,92,0.565,7,11,0.636,18,23,0.783,10,43,53,27,5,5,13,15
7,2021,2021-03-01,HOME,NOP,129,UTA,124,WIN,52,92,0.565,7,11,0.636,18,23,0.783,10,43,53,27,5,5,13,15,46,101,0.455,17,43,0.395,15,18,0.833,11,28,39,26,11,7,8,22
8,2021,2021-03-01,AWAY,BRK,124,SAS,113,WIN,47,100,0.47,17,41,0.415,13,17,0.765,13,38,51,35,6,8,5,13,44,97,0.454,15,35,0.429,10,15,0.667,9,39,48,30,2,3,9,16
9,2021,2021-03-01,HOME,SAS,113,BRK,124,LOSS,44,97,0.454,15,35,0.429,10,15,0.667,9,39,48,30,2,3,9,16,47,100,0.47,17,41,0.415,13,17,0.765,13,38,51,35,6,8,5,13
10,2021,2021-03-01,AWAY,CLE,101,HOU,90,WIN,36,73,0.493,10,30,0.333,19,24,0.792,6,42,48,23,7,6,19,18,31,76,0.408,10,31,0.323,18,24,0.75,4,26,30,13,13,4,14,18
11,2021,2021-03-01,HOME,HOU,90,CLE,101,LOSS,31,76,0.408,10,31,0.323,18,24,0.75,4,26,30,13,13,4,14,18,36,73,0.493,10,30,0.333,19,24,0.792,6,42,48,23,7,6,19,18
12,2021,2021-03-01,AWAY,CHO,111,POR,123,LOSS,43,88,0.489,15,34,0.441,10,17,0.588,11,26,37,25,12,5,16,16,46,86,0.535,24,46,0.522,7,10,0.7,8,30,38,26,12,7,15,15
