,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2021,2021-05-01,AWAY,DET,94,CHO,107,LOSS,35,91,0.385,13,37,0.351,11,17,0.647,12,31,43,27,6,7,10,16,42,87,0.483,14,37,0.378,9,20,0.45,14,40,54,24,8,15,13,16
1,2021,2021-05-01,HOME,CHO,107,DET,94,WIN,42,87,0.483,14,37,0.378,9,20,0.45,14,40,54,24,8,15,13,16,35,91,0.385,13,37,0.351,11,17,0.647,12,31,43,27,6,7,10,16
2,2021,2021-05-01,AWAY,GSW,113,HOU,87,WIN,39,84,0.464,18,46,0.391,17,24,0.708,4,46,50,32,10,8,17,18,32,89,0.36,9,42,0.214,14,22,0.636,10,39,49,20,9,3,18,18
3,2021,2021-05-01,HOME,HOU,87,GSW,113,LOSS,32,89,0.36,9,42,0.214,14,22,0.636,10,39,49,20,9,3,18,18,39,84,0.464,18,46,0.391,17,24,0.708,4,46,50,32,10,8,17,18
4,2021,2021-05-01,AWAY,CHI,97,ATL,108,LOSS,40,85,0.471,6,24,0.25,11,17,0.647,8,31,39,22,11,0,13,22,37,74,0.5,14,36,0.389,20,26,0.769,6,38,44,19,11,5,14,21
5,2021,2021-05-01,HOME,ATL,108,CHI,97,WIN,37,74,0.5,14,36,0.389,20,26,0.769,6,38,44,19,11,5,14,21,40,85,0.471,6,24,0.25,11,17,0.647,8,31,39,22,11,0,13,22
6,2021,2021-05-01,AWAY,MIA,124,CLE,107,WIN,47,87,0.54,18,36,0.5,12,15,0.8,10,27,37,30,12,1,8,16,37,74,0.5,20,40,0.5,13,17,0.765,9,30,39,30,3,4,18,17
7,2021,2021-05-01,HOME,CLE,107,MIA,124,LOSS,37,74,0.5,20,40,0.5,13,17,0.765,9,30,39,30,3,4,18,17,47,87,0.54,18,36,0.5,12,15,0.8,10,27,37,30,12,1,8,16
8,2021,2021-05-01,AWAY,NOP,140,MIN,136,WIN,47,92,0.511,14,36,0.389,32,46,0.696,14,38,52,34,8,5,21,20,48,106,0.453,15,48,0.313,25,32,0.781,13,38,51,35,17,5,16,30
9,2021,2021-05-01,HOME,MIN,136,NOP,140,LOSS,48,106,0.453,15,48,0.313,25,32,0.781,13,38,51,35,17,5,16,30,47,92,0.511,14,36,0.389,32,46,0.696,14,38,52,34,8,5,21,20
10,2021,2021-05-01,AWAY,IND,152,OKC,95,WIN,57,87,0.655,21,33,0.636,17,22,0.773,3,50,53,41,7,11,17,22,38,111,0.342,8,38,0.211,11,23,0.478,21,27,48,23,8,4,14,15
11,2021,2021-05-01,HOME,OKC,95,IND,152,LOSS,38,111,0.342,8,38,0.211,11,23,0.478,21,27,48,23,8,4,14,15,57,87,0.655,21,33,0.636,17,22,0.773,3,50,53,41,7,11,17,22
12,2021,2021-05-01,AWAY,MEM,111,ORL,112,LOSS,44,96,0.458,10,29,0.345,13,21,0.619,17,38,55,21,6,10,16,20,38,85,0.447,11,25,0.44,25,28,0.893,6,31,37,20,10,5,10,17
13,2021,2021-05-01,HOME,ORL,112,MEM,111,WIN,38,85,0.447,11,25,0.44,25,28,0.893,6,31,37,20,10,5,10,17,44,96,0.458,10,29,0.345,13,21,0.619,17,38,55,21,6,10,16,20
14,2021,2021-05-01,AWAY,WAS,124,DAL,125,LOSS,47,91,0.516,6,19,0.316,24,31,0.774,14,32,46,19,5,3,10,23,47,87,0.54,17,38,0.447,14,22,0.636,7,29,36,31,6,4,11,25
15,2021,2021-05-01,HOME,DAL,125,WAS,124,WIN,47,87,0.54,17,38,0.447,14,22,0.636,7,29,36,31,6,4,11,25,47,91,0.516,6,19,0.316,24,31,0.774,14,32,46,19,5,3,10,23
16,2021,2021-05-01,AWAY,DEN,110,LAC,104,WIN,39,80,0.488,12,32,0.375,20,21,0.952,8,36,44,26,2,4,10,23,36,83,0.434,14,34,0.412,18,24,0.75,10,29,39,21,8,3,6,19
17,2021,2021-05-01,HOME,LAC,104,DEN,110,LOSS,36,83,0.434,14,34,0.412,18,24,0.75,10,29,39,21,8,3,6,19,39,80,0.488,12,32,0.375,20,21,0.952,8,36,44,26,2,4,10,23
18,2021,2021-05-01,AWAY,TOR,102,UTA,106,LOSS,42,94,0.447,12,33,0.364,6,9,0.667,11,28,39,26,12,3,10,15,37,78,0.474,17,41,0.415,15,18,0.833,9,40,49,20,3,3,20,15
