,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2022,2021-12-01,AWAY,ATL,114,IND,111,WIN,44,86,0.512,16,33,0.485,10,12,0.833,7,34,41,24,4,8,13,15,44,90,0.489,10,33,0.303,13,16,0.813,8,32,40,23,8,4,10,18
1,2022,2021-12-01,HOME,IND,111,ATL,114,LOSS,44,90,0.489,10,33,0.303,13,16,0.813,8,32,40,23,8,4,10,18,44,86,0.512,16,33,0.485,10,12,0.833,7,34,41,24,4,8,13,15
2,2022,2021-12-01,AWAY,DEN,103,ORL,108,LOSS,39,80,0.488,10,34,0.294,15,21,0.714,1,34,35,22,5,4,14,19,44,81,0.543,6,27,0.222,14,19,0.737,1,38,39,26,8,6,12,15
3,2022,2021-12-01,HOME,ORL,108,DEN,103,WIN,44,81,0.543,6,27,0.222,14,19,0.737,1,38,39,26,8,6,12,15,39,80,0.488,10,34,0.294,15,21,0.714,1,34,35,22,5,4,14,19
4,2022,2021-12-01,AWAY,MIN,107,WAS,115,LOSS,37,88,0.42,11,37,0.297,22,26,0.846,12,27,39,15,3,6,12,23,45,91,0.495,10,32,0.313,15,21,0.714,14,38,52,34,6,7,13,23
5,2022,2021-12-01,HOME,WAS,115,MIN,107,WIN,45,91,0.495,10,32,0.313,15,21,0.714,14,38,52,34,6,7,13,23,37,88,0.42,11,37,0.297,22,26,0.846,12,27,39,15,3,6,12,23
6,2022,2021-12-01,AWAY,PHI,87,BOS,88,LOSS,33,89,0.371,8,31,0.258,13,17,0.765,8,38,46,20,7,9,7,17,33,79,0.418,11,28,0.393,11,15,0.733,4,42,46,18,5,8,13,15
7,2022,2021-12-01,HOME,BOS,88,PHI,87,WIN,33,79,0.418,11,28,0.393,11,15,0.733,4,42,46,18,5,8,13,15,33,89,0.371,8,31,0.258,13,17,0.765,8,38,46,20,7,9,7,17
8,2022,2021-12-01,AWAY,CLE,111,MIA,85,WIN,37,68,0.544,16,31,0.516,21,23,0.913,6,40,46,27,8,14,20,15,32,85,0.376,12,37,0.324,9,13,0.692,9,19,28,21,8,4,11,17
9,2022,2021-12-01,HOME,MIA,85,CLE,111,LOSS,32,85,0.376,12,37,0.324,9,13,0.692,9,19,28,21,8,4,11,17,37,68,0.544,16,31,0.516,21,23,0.913,6,40,46,27,8,14,20,15
10,2022,2021-12-01,AWAY,CHO,125,MIL,127,LOSS,43,87,0.494,21,51,0.412,18,21,0.857,3,33,36,30,8,9,16,21,46,94,0.489,14,36,0.389,21,26,0.808,9,36,45,29,10,1,13,20
11,2022,2021-12-01,HOME,MIL,127,CHO,125,WIN,46,94,0.489,14,36,0.389,21,26,0.808,9,36,45,29,10,1,13,20,43,87,0.494,21,51,0.412,18,21,0.857,3,33,36,30,8,9,16,21
12,2022,2021-12-01,AWAY,DAL,139,NOP,107,WIN,57,83,0.687,18,34,0.529,7,9,0.778,9,25,34,32,7,2,18,19,40,89,0.449,13,37,0.351,14,16,0.875,16,16,32,22,10,1,13,12
13,2022,2021-12-01,HOME,NOP,107,DAL,139,LOSS,40,89,0.449,13,37,0.351,14,16,0.875,16,16,32,22,10,1,13,12,57,83,0.687,18,34,0.529,7,9,0.778,9,25,34,32,7,2,18,19
14,2022,2021-12-01,AWAY,HOU,114,OKC,110,WIN,40,79,0.506,15,37,0.405,19,22,0.864,8,32,40,25,9,12,18,25,40,85,0.471,8,32,0.25,22,29,0.759,10,25,35,16,9,6,13,21
15,2022,2021-12-01,HOME,OKC,110,HOU,114,LOSS,40,85,0.471,8,32,0.25,22,29,0.759,10,25,35,16,9,6,13,21,40,79,0.506,15,37,0.405,19,22,0.864,8,32,40,25,9,12,18,25
16,2022,2021-12-01,AWAY,SAC,124,LAC,115,WIN,46,88,0.523,15,38,0.395,17,20,0.85,7,31,38,28,8,1,11,16,47,100,0.47,9,31,0.29,12,16,0.75,17,32,49,35,8,6,11,15
17,2022,2021-12-01,HOME,LAC,115,SAC,124,LOSS,47,100,0.47,9,31,0.29,12,16,0.75,17,32,49,35,8,6,11,15,46,88,0.523,15,38,0.395,17,20,0.85,7,31,38,28,8,1,11,16
