,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2023-02-01,AWAY,POR,122,MEM,112,WIN,41,87,0.471,14,36,0.389,26,27,0.963,9,32,41,24,3,5,13,22,41,87,0.471,9,37,0.243,21,28,0.75,12,32,44,28,8,7,12,22
1,2023,2023-02-01,HOME,MEM,112,POR,122,LOSS,41,87,0.471,9,37,0.243,21,28,0.75,12,32,44,28,8,7,12,22,41,87,0.471,14,36,0.389,26,27,0.963,9,32,41,24,3,5,13,22
2,2023,2023-02-01,AWAY,ORL,94,PHI,105,LOSS,33,87,0.379,6,38,0.158,22,29,0.759,12,34,46,12,10,4,14,21,34,78,0.436,14,35,0.4,23,26,0.885,7,36,43,27,7,4,18,24
3,2023,2023-02-01,HOME,PHI,105,ORL,94,WIN,34,78,0.436,14,35,0.4,23,26,0.885,7,36,43,27,7,4,18,24,33,87,0.379,6,38,0.158,22,29,0.759,12,34,46,12,10,4,14,21
4,2023,2023-02-01,AWAY,BRK,96,BOS,139,LOSS,36,88,0.409,9,39,0.231,15,18,0.833,5,27,32,19,8,1,5,12,53,92,0.576,26,54,0.481,7,10,0.7,11,46,57,28,4,4,10,13
5,2023,2023-02-01,HOME,BOS,139,BRK,96,WIN,53,92,0.576,26,54,0.481,7,10,0.7,11,46,57,28,4,4,10,13,36,88,0.409,9,39,0.231,15,18,0.833,5,27,32,19,8,1,5,12
6,2023,2023-02-01,AWAY,OKC,106,HOU,112,LOSS,38,103,0.369,12,43,0.279,18,22,0.818,24,28,52,22,11,6,10,23,41,94,0.436,7,23,0.304,23,31,0.742,24,41,65,20,6,12,17,20
7,2023,2023-02-01,HOME,HOU,112,OKC,106,WIN,41,94,0.436,7,23,0.304,23,31,0.742,24,41,65,20,6,12,17,20,38,103,0.369,12,43,0.279,18,22,0.818,24,28,52,22,11,6,10,23
8,2023,2023-02-01,AWAY,GSW,114,MIN,119,LOSS,38,91,0.418,11,35,0.314,27,34,0.794,9,49,58,21,7,4,17,24,46,106,0.434,14,50,0.28,13,24,0.542,10,43,53,26,5,7,11,23
9,2023,2023-02-01,HOME,MIN,119,GSW,114,WIN,46,106,0.434,14,50,0.28,13,24,0.542,10,43,53,26,5,7,11,23,38,91,0.418,11,35,0.314,27,34,0.794,9,49,58,21,7,4,17,24
10,2023,2023-02-01,AWAY,SAC,119,SAS,109,WIN,48,90,0.533,8,27,0.296,15,19,0.789,6,28,34,25,10,3,9,13,48,88,0.545,8,24,0.333,5,7,0.714,8,32,40,30,5,1,18,17
11,2023,2023-02-01,HOME,SAS,109,SAC,119,LOSS,48,88,0.545,8,24,0.333,5,7,0.714,8,32,40,30,5,1,18,17,48,90,0.533,8,27,0.296,15,19,0.789,6,28,34,25,10,3,9,13
12,2023,2023-02-01,AWAY,TOR,128,UTA,131,LOSS,50,110,0.455,10,23,0.435,18,26,0.692,25,27,52,27,11,2,7,22,44,83,0.53,17,47,0.362,26,30,0.867,13,36,49,29,3,11,16,17
13,2023,2023-02-01,HOME,UTA,131,TOR,128,WIN,44,83,0.53,17,47,0.362,26,30,0.867,13,36,49,29,3,11,16,17,50,110,0.455,10,23,0.435,18,26,0.692,25,27,52,27,11,2,7,22
14,2023,2023-02-01,AWAY,ATL,132,PHO,100,WIN,52,91,0.571,19,33,0.576,9,11,0.818,6,39,45,32,6,5,12,24,35,86,0.407,4,28,0.143,26,31,0.839,12,32,44,22,8,4,16,13
15,2023,2023-02-01,HOME,PHO,100,ATL,132,LOSS,35,86,0.407,4,28,0.143,26,31,0.839,12,32,44,22,8,4,16,13,52,91,0.571,19,33,0.576,9,11,0.818,6,39,45,32,6,5,12,24
