,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2023-01-01,AWAY,BOS,111,DEN,123,LOSS,40,87,0.46,9,33,0.273,22,27,0.815,10,31,41,30,8,3,13,15,45,79,0.57,17,30,0.567,16,18,0.889,1,34,35,31,5,4,14,17
1,2023,2023-01-01,HOME,DEN,123,BOS,111,WIN,45,79,0.57,17,30,0.567,16,18,0.889,1,34,35,31,5,4,14,17,40,87,0.46,9,33,0.273,22,27,0.815,10,31,41,30,8,3,13,15
2,2023,2023-01-01,AWAY,SAC,108,MEM,118,LOSS,39,96,0.406,15,43,0.349,15,15,1.0,14,33,47,24,7,4,15,18,46,100,0.46,10,32,0.313,16,24,0.667,21,36,57,25,11,8,11,18
3,2023,2023-01-01,HOME,MEM,118,SAC,108,WIN,46,100,0.46,10,32,0.313,16,24,0.667,21,36,57,25,11,8,11,18,39,96,0.406,15,43,0.349,15,15,1.0,14,33,47,24,7,4,15,18
4,2023,2023-01-01,AWAY,WAS,118,MIL,95,WIN,50,94,0.532,7,27,0.259,11,16,0.688,12,42,54,29,9,6,17,10,34,96,0.354,13,49,0.265,14,15,0.933,14,30,44,22,11,3,16,15
5,2023,2023-01-01,HOME,MIL,95,WAS,118,LOSS,34,96,0.354,13,49,0.265,14,15,0.933,14,30,44,22,11,3,16,15,50,94,0.532,7,27,0.259,11,16,0.688,12,42,54,29,9,6,17,10
6,2023,2023-01-02,AWAY,PHO,83,NYK,102,LOSS,34,87,0.391,10,37,0.27,5,7,0.714,5,31,36,22,4,0,8,17,36,74,0.486,13,33,0.394,17,25,0.68,5,40,45,26,1,2,7,13
7,2023,2023-01-02,HOME,NYK,102,PHO,83,WIN,36,74,0.486,13,33,0.394,17,25,0.68,5,40,45,26,1,2,7,13,34,87,0.391,10,37,0.27,5,7,0.714,5,31,36,22,4,0,8,17
8,2023,2023-01-02,AWAY,LAL,121,CHO,115,WIN,45,93,0.484,10,30,0.333,21,30,0.7,9,44,53,26,6,5,14,21,42,93,0.452,11,32,0.344,20,29,0.69,8,39,47,24,8,7,14,22
9,2023,2023-01-02,HOME,CHO,115,LAL,121,LOSS,42,93,0.452,11,32,0.344,20,29,0.69,8,39,47,24,8,7,14,22,45,93,0.484,10,30,0.333,21,30,0.7,9,44,53,26,6,5,14,21
10,2023,2023-01-02,AWAY,CHI,134,CLE,145,LOSS,47,95,0.495,10,33,0.303,30,34,0.882,6,36,42,22,8,2,7,33,48,92,0.522,16,46,0.348,33,45,0.733,13,34,47,27,1,3,10,27
11,2023,2023-01-02,HOME,CLE,145,CHI,134,WIN,48,92,0.522,16,46,0.348,33,45,0.733,13,34,47,27,1,3,10,27,47,95,0.495,10,33,0.303,30,34,0.882,6,36,42,22,8,2,7,33
12,2023,2023-01-02,AWAY,TOR,114,IND,122,LOSS,41,91,0.451,14,42,0.333,18,23,0.783,12,24,36,26,5,11,11,27,45,93,0.484,10,27,0.37,22,26,0.846,15,35,50,24,4,2,12,19
13,2023,2023-01-02,HOME,IND,122,TOR,114,WIN,45,93,0.484,10,27,0.37,22,26,0.846,15,35,50,24,4,2,12,19,41,91,0.451,14,42,0.333,18,23,0.783,12,24,36,26,5,11,11,27
14,2023,2023-01-02,AWAY,NOP,111,PHI,120,LOSS,42,84,0.5,11,29,0.379,16,20,0.8,10,39,49,26,3,6,17,22,41,86,0.477,15,35,0.429,23,28,0.821,7,28,35,26,9,6,9,22
15,2023,2023-01-02,HOME,PHI,120,NOP,111,WIN,41,86,0.477,15,35,0.429,23,28,0.821,7,28,35,26,9,6,9,22,42,84,0.5,11,29,0.379,16,20,0.8,10,39,49,26,3,6,17,22
16,2023,2023-01-02,AWAY,SAS,103,BRK,139,LOSS,42,97,0.433,8,31,0.258,11,18,0.611,15,28,43,26,5,4,18,13,58,93,0.624,11,20,0.55,12,15,0.8,7,38,45,31,13,7,12,16
17,2023,2023-01-02,HOME,BRK,139,SAS,103,WIN,58,93,0.624,11,20,0.55,12,15,0.8,7,38,45,31,13,7,12,16,42,97,0.433,8,31,0.258,11,18,0.611,15,28,43,26,5,4,18,13
18,2023,2023-01-02,AWAY,DAL,111,HOU,106,WIN,34,81,0.42,13,43,0.302,30,34,0.882,8,33,41,19,8,6,8,19,38,82,0.463,9,29,0.31,21,29,0.724,8,38,46,21,4,4,10,28
19,2023,2023-01-02,HOME,HOU,106,DAL,111,LOSS,38,82,0.463,9,29,0.31,21,29,0.724,8,38,46,21,4,4,10,28,34,81,0.42,13,43,0.302,30,34,0.882,8,33,41,19,8,6,8,19
20,2023,2023-01-02,AWAY,DEN,111,MIN,124,LOSS,42,91,0.462,11,29,0.379,16,20,0.8,18,27,45,27,8,1,14,21,45,87,0.517,13,36,0.361,21,27,0.778,11,30,41,29,7,4,11,22
21,2023,2023-01-02,HOME,MIN,124,DEN,111,WIN,45,87,0.517,13,36,0.361,21,27,0.778,11,30,41,29,7,4,11,22,42,91,0.462,11,29,0.379,16,20,0.8,18,27,45,27,8,1,14,21
22,2023,2023-01-02,AWAY,ATL,141,GSW,143,LOSS,53,109,0.486,11,35,0.314,24,29,0.828,10,43,53,30,9,10,13,17,54,121,0.446,19,59,0.322,16,24,0.667,23,46,69,34,9,6,19,23
23,2023,2023-01-02,HOME,GSW,143,ATL,141,WIN,54,121,0.446,19,59,0.322,16,24,0.667,23,46,69,34,9,6,19,23,53,109,0.486,11,35,0.314,24,29,0.828,10,43,53,30,9,10,13,17
24,2023,2023-01-02,AWAY,DET,106,POR,135,LOSS,34,82,0.415,6,18,0.333,32,41,0.78,9,36,45,16,8,4,21,27,48,84,0.571,14,31,0.452,25,35,0.714,6,38,44,29,16,6,18,27
25,2023,2023-01-02,HOME,POR,135,DET,106,WIN,48,84,0.571,14,31,0.452,25,35,0.714,6,38,44,29,16,6,18,27,34,82,0.415,6,18,0.333,32,41,0.78,9,36,45,16,8,4,21,27
26,2023,2023-01-02,AWAY,MIA,110,LAC,100,WIN,39,85,0.459,12,36,0.333,20,24,0.833,12,36,48,22,7,2,11,23,29,67,0.433,12,29,0.414,30,34,0.882,3,31,34,19,7,1,15,18
27,2023,2023-01-02,HOME,LAC,100,MIA,110,LOSS,29,67,0.433,12,29,0.414,30,34,0.882,3,31,34,19,7,1,15,18,39,85,0.459,12,36,0.333,20,24,0.833,12,36,48,22,7,2,11,23
28,2023,2023-01-03,AWAY,WAS,113,MIL,123,LOSS,42,97,0.433,8,27,0.296,21,23,0.913,14,32,46,27,9,4,10,16,48,100,0.48,11,40,0.275,16,17,0.941,15,34,49,27,8,6,12,14
29,2023,2023-01-03,HOME,MIL,123,WAS,113,WIN,48,100,0.48,11,40,0.275,16,17,0.941,15,34,49,27,8,6,12,14,42,97,0.433,8,27,0.296,21,23,0.913,14,32,46,27,9,4,10,16
30,2023,2023-01-03,AWAY,BOS,117,OKC,150,LOSS,40,88,0.455,12,40,0.3,25,31,0.806,11,27,38,29,4,7,17,15,58,98,0.592,20,40,0.5,14,22,0.636,9,35,44,31,14,3,13,23
31,2023,2023-01-03,HOME,OKC,150,BOS,117,WIN,58,98,0.592,20,40,0.5,14,22,0.636,9,35,44,31,14,3,13,23,40,88,0.455,12,40,0.3,25,31,0.806,11,27,38,29,4,7,17,15
32,2023,2023-01-03,AWAY,SAC,117,UTA,115,WIN,46,86,0.535,9,32,0.281,16,18,0.889,7,33,40,23,7,4,17,26,38,88,0.432,13,44,0.295,26,29,0.897,12,32,44,21,9,3,16,19
33,2023,2023-01-03,HOME,UTA,115,SAC,117,LOSS,38,88,0.432,13,44,0.295,26,29,0.897,12,32,44,21,9,3,16,19,46,86,0.535,9,32,0.281,16,18,0.889,7,33,40,23,7,4,17,26
34,2023,2023-01-04,AWAY,MEM,131,CHO,107,WIN,47,94,0.5,9,30,0.3,28,37,0.757,11,48,59,28,10,8,14,16,38,94,0.404,11,38,0.289,20,24,0.833,10,34,44,25,11,8,12,23
35,2023,2023-01-04,HOME,CHO,107,MEM,131,LOSS,38,94,0.404,11,38,0.289,20,24,0.833,10,34,44,25,11,8,12,23,47,94,0.5,9,30,0.3,28,37,0.757,11,48,59,28,10,8,14,16
36,2023,2023-01-04,AWAY,PHO,88,CLE,90,LOSS,32,81,0.395,10,28,0.357,14,18,0.778,8,41,49,24,8,3,13,19,30,77,0.39,11,36,0.306,19,23,0.826,7,39,46,15,9,4,14,17
37,2023,2023-01-04,HOME,CLE,90,PHO,88,WIN,30,77,0.39,11,36,0.306,19,23,0.826,7,39,46,15,9,4,14,17,32,81,0.395,10,28,0.357,14,18,0.778,8,41,49,24,8,3,13,19
38,2023,2023-01-04,AWAY,OKC,115,ORL,126,LOSS,36,89,0.404,15,37,0.405,28,31,0.903,9,24,33,23,9,3,9,23,42,81,0.519,13,33,0.394,29,36,0.806,13,36,49,26,6,5,16,22
39,2023,2023-01-04,HOME,ORL,126,OKC,115,WIN,42,81,0.519,13,33,0.394,29,36,0.806,13,36,49,26,6,5,16,22,36,89,0.404,15,37,0.405,28,31,0.903,9,24,33,23,9,3,9,23
40,2023,2023-01-04,AWAY,IND,126,PHI,129,LOSS,45,95,0.474,13,36,0.361,23,26,0.885,13,32,45,31,7,8,13,18,48,98,0.49,14,36,0.389,19,22,0.864,14,32,46,24,4,7,9,19
41,2023,2023-01-04,HOME,PHI,129,IND,126,WIN,48,98,0.49,14,36,0.389,19,22,0.864,14,32,46,24,4,7,9,19,45,95,0.474,13,36,0.361,23,26,0.885,13,32,45,31,7,8,13,18
42,2023,2023-01-04,AWAY,SAS,114,NYK,117,LOSS,41,82,0.5,11,28,0.393,21,26,0.808,9,29,38,25,5,3,15,24,45,94,0.479,10,31,0.323,17,26,0.654,14,33,47,16,7,6,12,21
43,2023,2023-01-04,HOME,NYK,117,SAS,114,WIN,45,94,0.479,10,31,0.323,17,26,0.654,14,33,47,16,7,6,12,21,41,82,0.5,11,28,0.393,21,26,0.808,9,29,38,25,5,3,15,24
44,2023,2023-01-04,AWAY,MIL,104,TOR,101,WIN,35,88,0.398,13,39,0.333,21,30,0.7,13,60,73,26,4,4,25,24,38,116,0.328,9,46,0.196,16,20,0.8,14,33,47,22,10,4,8,23
45,2023,2023-01-04,HOME,TOR,101,MIL,104,LOSS,38,116,0.328,9,46,0.196,16,20,0.8,14,33,47,22,10,4,8,23,35,88,0.398,13,39,0.333,21,30,0.7,13,60,73,26,4,4,25,24
