,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2023-06-01,AWAY,MIA,93,DEN,104,LOSS,39,96,0.406,13,39,0.333,2,2,1.0,11,32,43,26,5,4,8,15,40,79,0.506,8,27,0.296,16,20,0.8,6,39,45,29,4,4,10,8
1,2023,2023-06-01,HOME,DEN,104,MIA,93,WIN,40,79,0.506,8,27,0.296,16,20,0.8,6,39,45,29,4,4,10,8,39,96,0.406,13,39,0.333,2,2,1.0,11,32,43,26,5,4,8,15
2,2023,2023-06-04,AWAY,MIA,111,DEN,108,WIN,38,78,0.487,17,35,0.486,18,20,0.9,8,23,31,28,5,4,11,22,39,75,0.52,11,28,0.393,19,22,0.864,9,29,38,23,7,2,13,21
3,2023,2023-06-04,HOME,DEN,108,MIA,111,LOSS,39,75,0.52,11,28,0.393,19,22,0.864,9,29,38,23,7,2,13,21,38,78,0.487,17,35,0.486,18,20,0.9,8,23,31,28,5,4,11,22
4,2023,2023-06-07,AWAY,DEN,109,MIA,94,WIN,41,80,0.513,5,18,0.278,22,27,0.815,13,45,58,28,3,5,13,18,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22
5,2023,2023-06-07,HOME,MIA,94,DEN,109,LOSS,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22,41,80,0.513,5,18,0.278,22,27,0.815,13,45,58,28,3,5,13,18
6,2023,2023-06-09,AWAY,DEN,108,MIA,95,WIN,39,79,0.494,14,28,0.5,16,21,0.762,5,29,34,26,11,7,6,18,35,78,0.449,8,25,0.32,17,20,0.85,8,29,37,23,2,3,14,19
7,2023,2023-06-09,HOME,MIA,95,DEN,108,LOSS,35,78,0.449,8,25,0.32,17,20,0.85,8,29,37,23,2,3,14,19,39,79,0.494,14,28,0.5,16,21,0.762,5,29,34,26,11,7,6,18
8,2023,2023-06-12,AWAY,MIA,89,DEN,94,LOSS,33,96,0.344,9,35,0.257,14,16,0.875,11,33,44,18,9,7,8,21,38,84,0.452,5,28,0.179,13,23,0.565,11,46,57,21,6,7,14,13
9,2023,2023-06-12,HOME,DEN,94,MIA,89,WIN,38,84,0.452,5,28,0.179,13,23,0.565,11,46,57,21,6,7,14,13,33,96,0.344,9,35,0.257,14,16,0.875,11,33,44,18,9,7,8,21
