Team,PTS_AVG,PTS,PTS_OPP_AVG,PTS_OPP,WIN/LOSS_AVG,WIN/LOSS,FG_AVG,FG,FGA_AVG,FGA,FG_PCT_AVG,FG_PCT,FG3_AVG,FG3,FG3A_AVG,FG3A,FG3_PCT_AVG,FG3_PCT,FT_AVG,FT,FTA_AVG,FTA,FT_PCT_AVG,FT_PCT,ORB_AVG,ORB,DRB_AVG,DRB,AST_AVG,AST,STL_AVG,STL,BLK_AVG,BLK,TOV_AVG,TOV,PF_AVG,PF,WIN/LOSS_OPP_AVG,WIN/LOSS_OPP,FG_OPP_AVG,FG_OPP,FGA_OPP_AVG,FGA_OPP,FG_PCT_OPP_AVG,FG_PCT_OPP,FG3_OPP_AVG,FG3_OPP,FG3A_OPP_AVG,FG3A_OPP,FG3_PCT_OPP_AVG,FG3_PCT_OPP,FT_OPP_AVG,FT_OPP,FTA_OPP_AVG,FTA_OPP,FT_PCT_OPP_AVG,FT_PCT_OPP,ORB_OPP_AVG,ORB_OPP,DRB_OPP_AVG,DRB_OPP,AST_OPP_AVG,AST_OPP,STL_OPP_AVG,STL_OPP,BLK_OPP_AVG,BLK_OPP,TOV_OPP_AVG,TOV_OPP,PF_OPP_AVG,PF_OPP,TRB,TRB_AVG,TRB_OPP,TRB_OPP_AVG,HOME/AWAY
Atlanta,115.0,113.0,121.7,118.0,0.0,0.0,42.7,41.0,93.7,89.0,0.456,0.461,15.0,13.0,47.3,45.0,0.317,0.289,14.7,18.0,18.3,21.0,0.8,0.857,12.3,12.0,29.0,28.0,27.0,24.0,7.7,6.0,3.3,3.0,13.7,16.0,22.0,21.0,1.0,1.0,44.0,42.0,91.7,92.0,0.48,0.457,11.7,7.0,32.3,25.0,0.361,0.28,22.0,27.0,27.7,31.0,0.795,0.871,15.0,18.0,34.0,30.0,24.3,23.0,7.7,10.0,3.7,2.0,13.0,10.0,17.0,17.0,40.0,41.3,48.0,49.0,0.0
Boston,138.3,126.0,114.0,115.0,1.0,1.0,48.7,46.0,92.3,91.0,0.527,0.505,20.0,13.0,45.7,42.0,0.43799999999999994,0.31,21.0,21.0,26.7,28.0,0.7879999999999999,0.75,13.3,11.0,35.0,33.0,33.0,31.0,6.0,8.0,7.3,7.0,9.0,8.0,17.7,17.0,0.0,0.0,42.3,43.0,90.0,90.0,0.47,0.478,15.0,13.0,36.7,32.0,0.409,0.406,14.3,16.0,19.7,21.0,0.7290000000000001,0.762,11.3,13.0,26.7,30.0,26.0,24.0,4.0,4.0,4.3,1.0,10.0,12.0,19.3,19.0,44.0,48.3,43.0,38.0,0.0
Brooklyn,122.0,122.0,123.7,144.0,0.667,0.0,43.7,45.0,89.7,101.0,0.48700000000000004,0.446,8.7,7.0,26.0,32.0,0.33299999999999996,0.21899999999999997,26.0,25.0,34.7,29.0,0.75,0.862,10.3,17.0,32.0,30.0,27.7,29.0,7.7,7.0,4.0,2.0,10.0,9.0,20.3,17.0,0.333,1.0,43.7,52.0,86.0,89.0,0.508,0.584,15.7,23.0,37.0,51.0,0.423,0.451,20.7,17.0,28.0,23.0,0.738,0.7390000000000001,10.0,8.0,33.0,33.0,29.0,41.0,5.7,6.0,5.0,8.0,12.7,10.0,23.3,18.0,47.0,42.3,41.0,43.0,1.0
Charlotte,104.0,104.0,119.7,113.0,0.0,0.0,40.7,43.0,92.0,93.0,0.442,0.462,7.3,6.0,29.3,29.0,0.25,0.207,15.3,12.0,19.3,16.0,0.7929999999999999,0.75,12.3,8.0,29.7,34.0,25.7,31.0,7.3,8.0,5.7,6.0,13.7,11.0,18.7,23.0,1.0,1.0,42.7,40.0,85.0,85.0,0.502,0.47100000000000003,14.7,14.0,34.3,34.0,0.42700000000000005,0.41200000000000003,19.7,19.0,23.0,25.0,0.855,0.76,10.3,11.0,33.3,34.0,28.7,24.0,8.0,7.0,8.0,3.0,14.3,13.0,18.3,14.0,42.0,42.0,45.0,43.599999999999994,0.0
Chicago,109.0,118.0,105.7,113.0,0.667,1.0,42.0,42.0,87.3,92.0,0.48100000000000004,0.457,7.3,7.0,29.3,25.0,0.25,0.28,17.7,27.0,20.3,31.0,0.8690000000000001,0.871,9.3,18.0,31.0,30.0,23.3,23.0,9.0,10.0,4.0,2.0,11.3,10.0,19.0,17.0,0.333,0.0,39.0,41.0,86.0,89.0,0.45299999999999996,0.461,11.7,13.0,40.0,45.0,0.292,0.289,16.0,18.0,21.0,21.0,0.762,0.857,12.0,12.0,31.0,28.0,25.3,24.0,6.3,6.0,4.7,3.0,16.0,16.0,16.0,21.0,48.0,40.3,40.0,43.0,1.0
Cleveland,108.7,113.0,109.3,110.0,0.667,1.0,40.0,40.0,89.0,92.0,0.449,0.435,15.3,17.0,44.0,43.0,0.348,0.395,13.3,16.0,19.0,23.0,0.7020000000000001,0.696,13.0,18.0,33.7,39.0,31.7,33.0,6.0,7.0,3.7,4.0,13.7,16.0,16.7,21.0,0.333,0.0,40.3,39.0,84.7,88.0,0.47600000000000003,0.44299999999999995,11.0,10.0,35.7,37.0,0.308,0.27,17.7,22.0,20.3,26.0,0.8690000000000001,0.846,6.3,7.0,31.7,30.0,25.3,21.0,8.3,12.0,5.3,7.0,10.3,10.0,19.3,21.0,57.0,46.7,37.0,38.0,0.0
Dallas,127.3,110.0,115.3,113.0,0.667,0.0,45.3,39.0,90.7,88.0,0.5,0.44299999999999995,16.3,10.0,42.0,37.0,0.389,0.27,20.3,22.0,25.7,26.0,0.792,0.846,8.7,7.0,33.7,30.0,25.0,21.0,8.7,12.0,6.3,7.0,11.3,10.0,19.7,21.0,0.333,1.0,41.3,40.0,93.3,92.0,0.44299999999999995,0.435,15.0,17.0,43.0,43.0,0.349,0.395,17.7,16.0,24.0,23.0,0.736,0.696,13.3,18.0,35.3,39.0,31.0,33.0,7.0,7.0,3.0,4.0,14.0,16.0,19.3,21.0,37.0,42.400000000000006,57.0,48.599999999999994,1.0
Denver,114.7,120.0,108.7,114.0,1.0,1.0,41.3,40.0,86.3,82.0,0.479,0.488,12.3,14.0,30.0,34.0,0.41100000000000003,0.41200000000000003,19.7,26.0,23.7,32.0,0.831,0.813,10.0,10.0,34.0,33.0,26.3,25.0,7.7,6.0,7.3,4.0,12.3,14.0,19.0,17.0,0.0,0.0,39.0,40.0,88.0,87.0,0.44299999999999995,0.46,11.7,14.0,33.7,40.0,0.34700000000000003,0.35,19.0,20.0,24.0,23.0,0.792,0.87,12.0,9.0,31.7,30.0,26.0,23.0,6.3,7.0,7.0,3.0,14.0,13.0,20.3,23.0,43.0,44.0,39.0,43.7,1.0
Detroit,112.7,112.0,121.0,118.0,0.0,0.0,40.7,40.0,85.0,90.0,0.478,0.444,11.0,9.0,30.3,25.0,0.363,0.36,20.3,23.0,26.7,32.0,0.763,0.7190000000000001,11.3,16.0,31.7,36.0,23.3,20.0,5.7,6.0,5.3,4.0,16.3,14.0,23.7,27.0,1.0,1.0,43.0,41.0,87.3,82.0,0.49200000000000005,0.5,10.0,9.0,25.3,22.0,0.395,0.409,25.0,27.0,33.0,43.0,0.758,0.628,9.7,7.0,31.7,35.0,26.7,22.0,10.3,6.0,5.7,7.0,11.3,9.0,20.7,22.0,52.0,43.0,42.0,41.4,1.0
Golden State,123.0,114.0,114.7,120.0,0.667,0.0,45.0,40.0,89.0,87.0,0.506,0.46,14.0,14.0,39.3,40.0,0.35600000000000004,0.35,19.0,20.0,22.3,23.0,0.851,0.87,12.0,9.0,36.3,30.0,31.3,23.0,6.7,7.0,2.3,3.0,14.3,13.0,18.0,23.0,0.333,1.0,40.7,40.0,87.7,82.0,0.46399999999999997,0.488,12.7,14.0,34.7,34.0,0.365,0.41200000000000003,20.7,26.0,27.0,32.0,0.765,0.813,9.0,10.0,28.3,33.0,25.3,25.0,8.7,6.0,3.7,4.0,11.7,14.0,17.7,17.0,39.0,48.3,43.0,37.3,0.0
