,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2018,2017-10-17,AWAY,BOS,99,CLE,102,LOSS,36,88,0.409,8,32,0.25,19,25,0.76,9,37,46,24,11,4,10,24,38,83,0.458,5,22,0.227,21,25,0.84,9,41,50,19,3,4,17,25
1,2018,2017-10-17,HOME,CLE,102,BOS,99,WIN,38,83,0.458,5,22,0.227,21,25,0.84,9,41,50,19,3,4,17,25,36,88,0.409,8,32,0.25,19,25,0.76,9,37,46,24,11,4,10,24
2,2018,2017-10-17,AWAY,HOU,122,GSW,121,WIN,47,97,0.485,15,41,0.366,13,19,0.684,10,33,43,28,9,5,12,16,43,80,0.538,16,30,0.533,19,21,0.905,6,35,41,34,5,9,17,25
3,2018,2017-10-17,HOME,GSW,121,HOU,122,LOSS,43,80,0.538,16,30,0.533,19,21,0.905,6,35,41,34,5,9,17,25,47,97,0.485,15,41,0.366,13,19,0.684,10,33,43,28,9,5,12,16
4,2018,2017-10-18,AWAY,CHO,90,DET,102,LOSS,29,73,0.397,9,30,0.3,23,29,0.793,3,44,47,16,4,3,17,15,41,96,0.427,9,26,0.346,11,12,0.917,9,38,47,24,14,3,8,21
5,2018,2017-10-18,HOME,DET,102,CHO,90,WIN,41,96,0.427,9,26,0.346,11,12,0.917,9,38,47,24,14,3,8,21,29,73,0.397,9,30,0.3,23,29,0.793,3,44,47,16,4,3,17,15
6,2018,2017-10-18,AWAY,BRK,131,IND,140,LOSS,45,94,0.479,12,30,0.4,29,32,0.906,11,32,43,22,7,2,20,25,53,102,0.52,9,34,0.265,25,32,0.781,14,33,47,29,12,9,14,25
7,2018,2017-10-18,HOME,IND,140,BRK,131,WIN,53,102,0.52,9,34,0.265,25,32,0.781,14,33,47,29,12,9,14,25,45,94,0.479,12,30,0.4,29,32,0.906,11,32,43,22,7,2,20,25
8,2018,2017-10-18,AWAY,MIA,109,ORL,116,LOSS,44,101,0.436,8,30,0.267,13,17,0.765,11,33,44,27,6,4,13,20,43,90,0.478,8,21,0.381,22,29,0.759,11,39,50,22,8,9,14,18
9,2018,2017-10-18,HOME,ORL,116,MIA,109,WIN,43,90,0.478,8,21,0.381,22,29,0.759,11,39,50,22,8,9,14,18,44,101,0.436,8,30,0.267,13,17,0.765,11,33,44,27,6,4,13,20
10,2018,2017-10-18,AWAY,PHI,115,WAS,120,LOSS,43,93,0.462,15,35,0.429,14,19,0.737,11,37,48,25,6,6,17,28,42,97,0.433,6,22,0.273,30,38,0.789,16,36,52,21,8,10,9,20
11,2018,2017-10-18,HOME,WAS,120,PHI,115,WIN,42,97,0.433,6,22,0.273,30,38,0.789,16,36,52,21,8,10,9,20,43,93,0.462,15,35,0.429,14,19,0.737,11,37,48,25,6,6,17,28
12,2018,2017-10-18,AWAY,MIL,108,BOS,100,WIN,38,76,0.5,7,21,0.333,25,30,0.833,6,39,45,19,6,4,15,22,39,91,0.429,11,28,0.393,11,21,0.524,11,32,43,23,12,2,12,27
13,2018,2017-10-18,HOME,BOS,100,MIL,108,LOSS,39,91,0.429,11,28,0.393,11,21,0.524,11,32,43,23,12,2,12,27,38,76,0.5,7,21,0.333,25,30,0.833,6,39,45,19,6,4,15,22
14,2018,2017-10-18,AWAY,NOP,91,MEM,103,LOSS,30,79,0.38,7,25,0.28,24,29,0.828,16,35,51,15,4,12,17,31,39,92,0.424,9,29,0.31,16,28,0.571,15,30,45,19,9,8,11,29
15,2018,2017-10-18,HOME,MEM,103,NOP,91,WIN,39,92,0.424,9,29,0.31,16,28,0.571,15,30,45,19,9,8,11,29,30,79,0.38,7,25,0.28,24,29,0.828,16,35,51,15,4,12,17,31
16,2018,2017-10-18,AWAY,ATL,117,DAL,111,WIN,48,94,0.511,9,18,0.5,12,15,0.8,14,36,50,20,11,6,13,18,38,86,0.442,17,45,0.378,18,21,0.857,9,32,41,27,5,4,15,19
17,2018,2017-10-18,HOME,DAL,111,ATL,117,LOSS,38,86,0.442,17,45,0.378,18,21,0.857,9,32,41,27,5,4,15,19,48,94,0.511,9,18,0.5,12,15,0.8,14,36,50,20,11,6,13,18
18,2018,2017-10-18,AWAY,DEN,96,UTA,106,LOSS,36,77,0.468,13,27,0.481,11,12,0.917,7,31,38,21,4,3,20,18,41,81,0.506,9,24,0.375,15,16,0.938,6,30,36,28,9,5,15,18
19,2018,2017-10-18,HOME,UTA,106,DEN,96,WIN,41,81,0.506,9,24,0.375,15,16,0.938,6,30,36,28,9,5,15,18,36,77,0.468,13,27,0.481,11,12,0.917,7,31,38,21,4,3,20,18
20,2018,2017-10-18,AWAY,MIN,99,SAS,107,LOSS,37,85,0.435,8,19,0.421,17,23,0.739,11,31,42,23,7,4,13,16,41,89,0.461,8,21,0.381,17,19,0.895,12,38,50,22,8,11,11,18
21,2018,2017-10-18,HOME,SAS,107,MIN,99,WIN,41,89,0.461,8,21,0.381,17,19,0.895,12,38,50,22,8,11,11,18,37,85,0.435,8,19,0.421,17,23,0.739,11,31,42,23,7,4,13,16
22,2018,2017-10-18,AWAY,POR,124,PHO,76,WIN,44,90,0.489,14,24,0.583,22,28,0.786,15,42,57,22,8,7,16,20,28,89,0.315,7,27,0.259,13,18,0.722,10,23,33,10,9,8,16,22
23,2018,2017-10-18,HOME,PHO,76,POR,124,LOSS,28,89,0.315,7,27,0.259,13,18,0.722,10,23,33,10,9,8,16,22,44,90,0.489,14,24,0.583,22,28,0.786,15,42,57,22,8,7,16,20
24,2018,2017-10-18,AWAY,HOU,105,SAC,100,WIN,33,83,0.398,12,45,0.267,27,29,0.931,12,32,44,19,7,3,14,14,42,88,0.477,8,23,0.348,8,10,0.8,9,33,42,19,5,4,17,20
25,2018,2017-10-18,HOME,SAC,100,HOU,105,LOSS,42,88,0.477,8,23,0.348,8,10,0.8,9,33,42,19,5,4,17,20,33,83,0.398,12,45,0.267,27,29,0.931,12,32,44,19,7,3,14,14
26,2018,2017-10-19,AWAY,CHI,100,TOR,117,LOSS,37,89,0.416,10,32,0.313,16,18,0.889,10,29,39,22,7,2,19,23,39,83,0.47,13,29,0.448,26,28,0.929,13,36,49,26,10,4,17,19
27,2018,2017-10-19,HOME,TOR,117,CHI,100,WIN,39,83,0.47,13,29,0.448,26,28,0.929,13,36,49,26,10,4,17,19,37,89,0.416,10,32,0.313,16,18,0.889,10,29,39,22,7,2,19,23
28,2018,2017-10-19,AWAY,NYK,84,OKC,105,LOSS,32,79,0.405,7,24,0.292,13,19,0.684,11,30,41,19,8,4,25,23,39,90,0.433,11,38,0.289,16,22,0.727,13,28,41,26,14,7,18,22
29,2018,2017-10-19,HOME,OKC,105,NYK,84,WIN,39,90,0.433,11,38,0.289,16,22,0.727,13,28,41,26,14,7,18,22,32,79,0.405,7,24,0.292,13,19,0.684,11,30,41,19,8,4,25,23
30,2018,2017-10-19,AWAY,LAC,108,LAL,92,WIN,42,107,0.393,12,33,0.364,12,13,0.923,17,42,59,23,12,3,14,20,37,91,0.407,4,16,0.25,14,23,0.609,12,40,52,21,8,7,19,15
31,2018,2017-10-19,HOME,LAL,92,LAC,108,LOSS,37,91,0.407,4,16,0.25,14,23,0.609,12,40,52,21,8,7,19,15,42,107,0.393,12,33,0.364,12,13,0.923,17,42,59,23,12,3,14,20
32,2018,2017-10-20,AWAY,ATL,91,CHO,109,LOSS,36,95,0.379,7,30,0.233,12,14,0.857,6,32,38,19,11,4,13,29,37,86,0.43,11,36,0.306,24,30,0.8,12,45,57,17,5,4,21,18
33,2018,2017-10-20,HOME,CHO,109,ATL,91,WIN,37,86,0.43,11,36,0.306,24,30,0.8,12,45,57,17,5,4,21,18,36,95,0.379,7,30,0.233,12,14,0.857,6,32,38,19,11,4,13,29
34,2018,2017-10-20,AWAY,POR,114,IND,96,WIN,46,95,0.484,9,19,0.474,13,17,0.765,11,40,51,19,5,6,9,26,35,78,0.449,4,18,0.222,22,33,0.667,6,33,39,15,1,4,12,17
35,2018,2017-10-20,HOME,IND,96,POR,114,LOSS,35,78,0.449,4,18,0.222,22,33,0.667,6,33,39,15,1,4,12,17,46,95,0.484,9,19,0.474,13,17,0.765,11,40,51,19,5,6,9,26
36,2018,2017-10-20,AWAY,CLE,116,MIL,97,WIN,44,81,0.543,11,26,0.423,17,17,1.0,9,35,44,25,8,3,17,11,38,82,0.463,11,35,0.314,10,12,0.833,8,22,30,23,9,2,14,17
37,2018,2017-10-20,HOME,MIL,97,CLE,116,LOSS,38,82,0.463,11,35,0.314,10,12,0.833,8,22,30,23,9,2,14,17,44,81,0.543,11,26,0.423,17,17,1.0,9,35,44,25,8,3,17,11
38,2018,2017-10-20,AWAY,BOS,102,PHI,92,WIN,35,84,0.417,10,29,0.345,22,32,0.688,14,41,55,16,4,5,19,24,35,92,0.38,10,32,0.313,12,16,0.75,14,33,47,20,7,4,16,30
39,2018,2017-10-20,HOME,PHI,92,BOS,102,LOSS,35,92,0.38,10,32,0.313,12,16,0.75,14,33,47,20,7,4,16,30,35,84,0.417,10,29,0.345,22,32,0.688,14,41,55,16,4,5,19,24
40,2018,2017-10-20,AWAY,DET,111,WAS,115,LOSS,43,87,0.494,10,23,0.435,15,20,0.75,10,23,33,19,12,1,19,32,40,75,0.533,6,17,0.353,29,35,0.829,7,30,37,25,12,7,16,18
41,2018,2017-10-20,HOME,WAS,115,DET,111,WIN,40,75,0.533,6,17,0.353,29,35,0.829,7,30,37,25,12,7,16,18,43,87,0.494,10,23,0.435,15,20,0.75,10,23,33,19,12,1,19,32
42,2018,2017-10-20,AWAY,ORL,121,BRK,126,LOSS,45,89,0.506,18,33,0.545,13,15,0.867,9,31,40,30,9,3,22,27,46,92,0.5,9,27,0.333,25,35,0.714,15,33,48,22,13,6,18,17
